customer,name,name_norm,terms,terms_description,ship_via,def_wh,div,active,addr1,city,state,postal
GORBRORET,GORDON BROTHERS RETAIL PARTNERS,GORDONBROTHERSRETAILPARTNERS,C6,CIT NET 60,FEDEX,,,Y,101 HUNTINGTON AVE,BOSTON,MA,02199
GORDMAN,"SPECIALTY RETAILERS, INC.",SPECIALTYRETAILERSINC,C4,CIT NET 45,PERF,,,Y,2425 WEST LOOP SOUTH,HOUSTON,TX,77027
GORDMANS,GORDMANS,GORDMANS,,,,,,Y,,,,
GOTTSCHALK,GOTTSCHALKS INC.,GOTTSCHALKSINC,C3,CIT NET 30,,,,N,2900 AIRPORT DRIVE,MADERA,CA,93637
GQFASHION,GQ FASHION,GQFASHION,CO,C.O.D.,,,,N,2300 C TAYLOR STREET,COLUMBIA,SC,29204
GRAHAM,GRAHAM SHOE CORP.,GRAHAMSHOECORP,,,,,,N,GRAHAM SHOE CORP. C/O $5 SHOE WHSE,BROOKLYN,NY,11223
GRANDGLITZ,GRAND GLITZ,GRANDGLITZ,CC,CREDIT CARD,,,,N,109 OXFORD DRIVE #3,BRANSON,MI,65616
GRANDMOTHE,GRANDMOTHERS HOUSE,GRANDMOTHERSHOUSE,CC,CREDIT CARD,,,,N,PO BOX 215,PHILOMATH,OR,97370
GRANDSTORE,GRAND STORES,GRANDSTORES,60,NET 60,,,,N,CALLE DR BEBE 127,BAYAMON,PR,00961
GRAPHIC,GRAPHIC VILLAGE WEAR,GRAPHICVILLAGEWEAR,CO,C.O.D.,,,,N,87 CHRISTOPHER STREET,NEW YORK,NY,10014
GROSS,MARLA GROSS,MARLAGROSS,,,,,,Y,242 PARK AVENUE,MANALAPAN,NJ,07726
GROUPON,GROUPON GOODS INC ECOM,GROUPONGOODSINCECOM,60,NET 60,,,,Y,600 WEST CHICAGO AVE,CHICAGO,IL,60654
GROUPUSA,GROUP USA,GROUPUSA,30,NET 30,,,,N,25 ENTERPRISE AVE,SECAUCUS,NJ,07094
GRUPO,GRUPO CHAHIN,GRUPOCHAHIN,,,,,,Y,CALLE ISABEL AGUIAR NO. 101,SANTO DOMINGO,DO,11005
GRUPOOROLO,GRUPO OROLOGIO S.A DE C.V,GRUPOOROLOGIOSADECV,,,FEDGROUND,,,N,EJE CENTRAL LAZARO CARDENAS #2,CIUDAD DE MEXICO,CP,06000
GSD,GSD II LLC,GSDIILLC,10,NET 10 DAYS,,,,Y,8855 COLLINS AVE,SURFSIDE,FL,33154
GT,G.T WHOLESALE LIMITED,GTWHOLESALELIMITED,,,,,,Y,1 GIANT TIGER BLVD.,"JOHNSTOWN,ON",ON,CANADA
GUUDEZ,GUUD EZ,GUUDEZ,CC,CREDIT CARD,,,,N,5555 WITTLESEY BLVD. STE. 1110,COLUMBUS,GA,31909
HABBER,HABBER HOLDING,HABBERHOLDING,,,FEDGROUND,,,Y,AV. 1ST DE MAYO#120,NAUCALPAN,XX,EDO
HALFOFF,HALF OFF,HALFOFF,CO,C.O.D.,,,,N,1748 N. VERMONT AVE.,LOS ANGELES,CA,90027
HAMILTON,HAMILTON BOUTIQUE,HAMILTONBOUTIQUE,,,,,,N,2131 KALAKAUA AVE. #6,HONOLULU,HI,96815
HAMRICKS,HAMRICKS,HAMRICKS,C3,CIT NET 30,ROUTING,,,Y,742 PEACHOID ROAD,GAFFNEY,SC,29341
HANDSHAKE,KAMFAM INVESTMENTS DBA HANDSHAKE DEALS,KAMFAMINVESTMENTSDBAHANDSHAKEDEALS,C3,CIT NET 30,,,,Y,PO BOX 10,SKULL VALLEY,AZ,86338
HAPPYDAYS,M&R CHILDRENS WEAR DBA HAPPY DAYS,MRCHILDRENSWEARDBAHAPPYDAYS,C8,CIT NET 10 EOM + 30,,,,N,4802 FIFTH AVENUE,BROOKLYN,NY,11220
